Seite;Bereich;Nr;Titel;Text
Krankengymnastik;Meta-Title;;;Krankengymnastik Reinheim – Physiotherapie Fortis Salutis
Krankengymnastik;Meta-Description;;;Krankengymnastik in Reinheim: Gezielte Bewegungstherapie zur Wiederherstellung von Beweglichkeit und Kraft. Fortis Salutis Reinheim – individuelle Behandlung auf höchstem Niveau.
Krankengymnastik;Hero-Subtitle;;;Gezielte Bewegungstherapie für mehr Lebensqualität
Krankengymnastik;Intro;1;;Die Krankengymnastik ist das Herzstück der Physiotherapie. Durch gezielte, therapeutisch angeleitete Übungen werden Bewegungseinschränkungen behoben und der Körper in seinen natürlichen Funktionen gestärkt.
Krankengymnastik;Intro;2;;Uns liegt besonders eine aktive Therapie am Herzen: Wir legen großen Wert darauf, dass Patienten in Bewegung kommen. Denn der Körper heilt sich am besten selbst – wenn man ihm die richtigen Impulse gibt.
Krankengymnastik;Intro;3;;Das Ziel ist kein kurzfristiger Effekt, sondern ein langfristiger Therapieerfolg. Jede Behandlung beginnt daher mit einer sorgfältigen Befundaufnahme, auf deren Basis wir einen individuellen Plan entwickeln – ob nach einer Operation, nach einer Verletzung oder bei chronischen Beschwerden.
Krankengymnastik;Indikation;1;;Rückenschmerzen, LWS-Syndrom & Bandscheibenvorfälle
Krankengymnastik;Indikation;2;;Nach orthopädischen Operationen (Knie-TEP, Hüft-TEP, Schulter)
Krankengymnastik;Indikation;3;;Sportverletzungen & Muskelverletzungen
Krankengymnastik;Indikation;4;;Haltungsschäden & muskuläre Dysbalancen
Krankengymnastik;Indikation;5;;Chronische Gelenkerkrankungen wie Arthrose
Krankengymnastik;Indikation;6;;Atemwegserkrankungen (Atemtherapie)
Krankengymnastik;Indikation;7;;Osteoporose & Stärkung des Knochenstoffwechsels
Krankengymnastik;Benefit;1;Beweglichkeit zurückgewinnen;Durch gezielte Mobilisations- und Dehnübungen werden verkürzte Strukturen gelöst und die Gelenkbeweglichkeit schrittweise verbessert.
Krankengymnastik;Benefit;2;Schmerzen dauerhaft lindern;Aktive und passive Techniken bekämpfen nicht nur die Symptome, sondern beseitigen die Ursachen Ihrer Schmerzen nachhaltig.
Krankengymnastik;Benefit;3;Muskulatur stärken;Durch kräftigende Übungen wird die Muskulatur gezielt aufgebaut und der Körper langfristig vor Rückfällen geschützt.
Krankengymnastik;Benefit;4;Rückfälle verhindern;Wir zeigen Ihnen gezielte Heimübungen, die Sie dauerhaft schmerzfrei halten und Ihren Alltag erleichtern.
Krankengymnastik;Ablauf;1;Befundaufnahme;Ausführliche Anamnese, Bewegungsanalyse und Diagnosestellung – wir verstehen Ihre individuelle Situation.
Krankengymnastik;Ablauf;2;Therapieplan;Auf Basis des Befunds erstellen wir einen individuellen Behandlungsplan mit klaren Zielen.
Krankengymnastik;Ablauf;3;Behandlung;Aktive und passive Therapieeinheiten, angepasst an Ihren Fortschritt – ohne Hektik und Zeitdruck.
Krankengymnastik;Ablauf;4;Kontrolle & Anpassung;Regelmäßige Verlaufskontrolle und Anpassung des Therapieplans für optimale Ergebnisse.
Manuelle Therapie;Meta-Title;;;Manuelle Therapie Reinheim – Physiotherapie Fortis Salutis
Manuelle Therapie;Meta-Description;;;Manuelle Therapie in Reinheim: Gezielte manuelle Grifftechniken bei Rückenschmerzen, Muskelverspannungen und Bewegungseinschränkungen. Fortis Salutis Reinheim.
Manuelle Therapie;Hero-Subtitle;;;Gezielte manuelle Grifftechniken für Gelenke und Weichteile
Manuelle Therapie;Intro;1;;Die Manuelle Therapie behandelt Funktionsstörungen an Gelenken, Muskeln und Weichteilen – gezielt, schonend und mit den Händen. Ziel ist es, Beweglichkeit wiederherzustellen und Schmerzen nachhaltig zu lindern.
Manuelle Therapie;Intro;2;;Dabei betrachten wir immer den ganzen Körper, nicht nur die schmerzende Stelle. So lassen sich Ursachen gezielt finden und behandeln – oft bereits nach wenigen Sitzungen mit spürbarem Ergebnis.
Manuelle Therapie;Indikation;1;;Bewegungseinschränkungen an Wirbelsäule, Schulter, Knie & Hüfte
Manuelle Therapie;Indikation;2;;Halswirbelsäulen-Beschwerden
Manuelle Therapie;Indikation;3;;Lendenwirbelsäulen-Schmerzen & Ischias-Symptomatik
Manuelle Therapie;Indikation;4;;Bandscheibenvorfälle & Facettengelenkssyndrome
Manuelle Therapie;Indikation;5;;Schulter-Arm-Syndrome & Impingement
Manuelle Therapie;Indikation;6;;Schulterschmerzen & Schultersteife
Manuelle Therapie;Indikation;7;;Knie- & Sprunggelenksbeschwerden
Manuelle Therapie;Benefit;1;Sofortige Wirkung;Bewegungseinschränkungen können oft in einer Sitzung deutlich verbessert werden – mit unmittelbarer Schmerzlinderung und spürbar mehr Beweglichkeit.
Manuelle Therapie;Benefit;2;Ursachenbehandlung;Statt nur Symptome zu bekämpfen, suchen wir die Ursache der Beschwerden und behandeln gezielt dort.
Manuelle Therapie;Benefit;3;Ohne Medikamente;Manuelle Therapie ist eine natürliche, nebenwirkungsfreie Behandlungsform, die auf den Einsatz von Schmerzmitteln verzichtet.
Manuelle Therapie;Benefit;4;Individuell & präzise;Jede Technik wird exakt auf Ihren Befund abgestimmt. Kein Schema F – jede Behandlung ist einzigartig.
